DATEDESC	STOREID	PRODUCTID	SALESQTY	Category	Product	Country	NETAMOUNT	GROSSMARGIN
7/19/2014	20003	100051259	1032	Clothing	Women	Indonesia	4892	1226.8
8/10/2014	20003	100051255	1029	Clothing	Women	India	1955	465.7
10/20/2014	20003	100582010	1028	Clothing	Women	Singapore	75246	3789.3
12/6/2014	20003	100051257	1026	Clothing	Men	Singapore	2915	918.9
12/12/2014	20003	100582010	1015	Clothing	Men	Singapore	74569	3478.9
8/29/2014	20003	100051257	1011	Clothing	Women	Singapore	2872	892.0
2/8/2014	20003	315834	999	Clothing	Women	India	2837	0.2
7/20/2014	20003	103732440	985	Clothing	Men	India	9337	1766.5
4/12/2014	20003	100051257	979	Clothing	Men	China	2781	450.0
6/29/2014	20003	103732440	943	Clothing	Women	China	8939	1947.1
7/30/2014	20003	100051255	920	Clothing	Women	China	1747	280.4
9/12/2014	20003	100032247	910	Clothing	Baby	Japan	3974	488.4
4/11/2014	20003	100001287	904	Clothing	Baby	Japan	125574	7279.4
4/20/2014	20003	100051259	903	Clothing	Baby	Japan	4280	1037.4
8/17/2014	20003	100051255	892	Clothing	Baby	Japan	1695	403.7
5/4/2014	20003	103732440	888	Clothing	Baby	Japan	8880	2146.4
1/4/2014	20003	315834	878	Vehicle	Bike	Indonesia	2493	0.1
3/22/2014	20003	100051257	876	Vehicle	Bike	Indonesia	2489	184.8
10/19/2014	20003	100051255	876	Vehicle	Car	India	1664	386.0
6/1/2014	20003	100051257	859	Vehicle	Car	Indonesia	2440	561.2
3/13/2014	20003	100051257	858	Vehicle	Car	Indonesia	2437	180.8
3/11/2014	20003	100051257	851	Vehicle	Truck	Singapore	2417	179.5
8/9/2014	20003	100038363	834	Vehicle	Bus	Singapore	49932	578.6
9/8/2014	20003	100051257	833	Vehicle	Truck	China	2366	735.1
8/24/2014	20003	100051255	831	Vehicle	Truck	Singapore	1579	376.1
4/6/2014	20003	100582010	831	Vehicle	Truck	Singapore	63200	1985.0
3/12/2014	20003	100051257	796	Vehicle	Bus	Japan	2261	167.7
3/14/2014	20003	100051257	794	Vehicle	Bus	Japan	2255	167.4
9/12/2014	20003	100051257	791	Vehicle	Bus	India	2247	697.9
12/14/2014	20009	100051259	785	Clothing	Baby	India	3721	1228.7
1/18/2014	20009	119393	782	Clothing	Men	Indonesia	60800	3432.0
5/16/2014	20009	100051255	781	Clothing	Women	India	1484	211.3
10/25/2014	20009	103732440	777	Clothing	Men	Singapore	7365	1149.3
10/26/2014	20009	100051255	774	Electronics	Laptop	Singapore	1471	340.8
11/15/2014	20009	100051255	768	Electronics	Desktop	India	1459	338.2
12/13/2014	20009	100034827	768	Electronics	Mobile	Singapore	3186	244.6
8/1/2014	20009	100032247	766	Clothing	Baby	India	3345	411.2
6/3/2014	20009	100051255	757	Clothing	Men	India	1438	218.6
5/2/2014	200010	100051255	757	Clothing	Women	India	1438	204.6
7/1/2014	200010	100051257	749	Clothing	Men	India	2128	574.7
5/3/2014	200010	103732440	737	Electronics	Laptop	India	7370	1781.4
6/30/2014	200011	100051257	736	Electronics	Desktop	India	2091	564.7
7/12/2014	20003	103732440	731	Electronics	Mobile	India	6930	1311.0
1/18/2014	20003	285896	725	Clothing	Baby	India	15366	3846.9
6/9/2014	20003	100051257	720	Clothing	Men	China	2046	594.8
8/17/2014	20003	103732440	715	Clothing	Women	China	6778	1373.6
6/21/2014	20003	103732440	701	Clothing	Men	China	6645	1625.9
12/12/2014	20003	100051257	695	Electronics	Laptop	Japan	1975	619.9
9/18/2014	20003	100051257	688	Electronics	Desktop	Japan	1955	611.4
4/16/2014	20003	100051255	686	Electronics	Mobile	Singapore	1178	185.6
7/2/2014	20003	100051257	682	Clothing	Baby	Japan	1938	523.1
5/30/2014	20003	100026173	675	Clothing	Men	Japan	15185	3112.7
2/24/2014	20003	100051255	669	Clothing	Women	Indonesia	1337	117.2
11/15/2014	20008	103732440	666	Clothing	Men	Singapore	6314	985.5
4/18/2014	20009	100051257	666	Electronics	Laptop	Indonesia	1892	674.9
12/31/2014	200074	100051257	665	Electronics	Desktop	Indonesia	1889	592.7
10/29/2014	200075	100034951	663	Electronics	Mobile	Indonesia	190022	43412.3
4/8/2014	20003	100051257	658	Clothing	Baby	Singapore	1869	302.5
2/16/2014	148626	100051259	648	Clothing	Men	Singapore	3230	600.7
5/31/2014	167920	100037029	647	Clothing	Women	China	20703	1377.1
10/17/2014	187213	100051257	646	Clothing	Men	Singapore	1835	574.6
6/1/2014	206506	100037029	646	Electronics	Laptop	Singapore	20683	1348.2
5/3/2014	225799	100026173	644	Electronics	Desktop	Japan	28692	3433.0
5/6/2014	245093	100051255	644	Electronics	Mobile	China	1224	174.0
12/26/2014	264386	103732440	634	Clothing	Baby	India	6010	1204.3
4/23/2014	283679	100051255	633	Clothing	Men	India	1203	144.2
8/9/2014	302972	103732440	631	Clothing	Women	Indonesia	5982	1148.6
10/25/2014	322265	100051255	628	Clothing	Men	India	1193	276.5
1/3/2014	341559	315835	628	Electronics	Laptop	Singapore	1191	4.1
12/14/2014	360852	100037029	628	Vehicle	Car	Singapore	18524	1818.4
12/6/2014	380145	103732440	627	Vehicle	Bike	Singapore	5788	395.8
10/22/2014	399438	104726447	624	Vehicle	Bike	Singapore	175483	8734.3
1/26/2014	418731	165801	622	Vehicle	Bike	India	18339	216.6
10/1/2014	438025	100051257	621	Vehicle	Car	India	1764	552.2
5/20/2014	457318	100051259	605	Vehicle	Car	China	2868	748.6
6/29/2014	476611	100026173	604	Vehicle	Car	Indonesia	17511	680.2
12/7/2014	495904	100026461	603	Vehicle	Car	China	17790	2599.4
5/13/2014	515198	100051255	603	Vehicle	Bike	Japan	1146	162.8
5/14/2014	534491	100051255	601	Vehicle	Car	Japan	1142	162.3
2/1/2014	553784	315674	599	Vehicle	Car	Japan	2839	53.3
2/7/2014	573077	315835	598	Vehicle	Bike	Japan	1136	5.9
9/28/2014	592370	100051259	596	Vehicle	Bike	Japan	2825	950.4
10/7/2014	611664	103732440	591	Vehicle	Truck	Indonesia	5602	1243.2
4/24/2014	630957	100051255	591	Vehicle	Bike	China	1123	134.6
12/26/2014	650250	100051257	590	Vehicle	Car	Indonesia	1676	525.9
4/29/2014	669543	100051255	588	Electronics	Desktop	Indonesia	1117	158.8
7/18/2014	688836	103732440	584	Electronics	Mobile	Indonesia	5536	1047.3
3/31/2014	708130	100051259	583	Electronics	Mobile	Singapore	2763	354.7
6/17/2014	727423	100051255	581	Electronics	Laptop	Singapore	1104	237.4
6/18/2014	746716	100051257	578	Clothing	Baby	Singapore	1642	445.7
8/1/2014	766009	100051255	575	Clothing	Men	Singapore	1092	175.2
12/23/2014	785303	100051255	568	Clothing	baby	China	1079	249.9
7/7/2014	804596	100051255	567	Clothing	Baby	Japan	1077	172.4
6/13/2014	823889	100051255	567	Clothing	Men	Japan	1077	225.1
3/3/2014	843182	100582010	565	Clothing	Women	India	42838	1930.5
6/18/2014	862475	100051255	564	Clothing	Women	India	1072	230.4
2/27/2014	881769	100051255	563	Clothing	Men	Indonesia	1069	154.2
4/10/2014	901062	100051255	562	Clothing	Men	India	1068	44.6
7/8/2014	920355	100051255	560	Electronics	Laptop	Singapore	1064	170.3
2/5/2014	939648	119493	557	Electronics	Desktop	Singapore	38294	712.6
2/4/2014	958941	315835	556	Vehicle	Bike	Singapore	1056	5.6
12/30/2014	978235	100051257	554	Vehicle	Car	Singapore	1574	493.8
10/26/2014	997528	100051259	554	Electronics	Desktop	India	2626	866.7
5/21/2014	562312	103732440	553	Electronics	Mobile	India	5242	1048.9
8/2/2014	234589	100037029	550	Electronics	Mobile	China	17865	606.8
5/8/2014	2356778	100051255	548	Electronics	Laptop	China	1041	148.0
5/6/2014	2845692	103732440	546	Clothing	Baby	China	5460	1319.7
12/13/2014	3742925	100051259	545	Vehicle	Bike	Japan	2583	853.0
2/6/2014	4640158	315835	544	Clothing	baby	Japan	1033	5.0
10/18/2014	5537391	100051259	542	Vehicle	Bike	Japan	2569	847.9
5/9/2014	6434624	100051257	536	Vehicle	Bike	Japan	1523	384.5
3/20/2014	7331857	100051255	535	Vehicle	Truck	Japan	1016	10.4
1/28/2014	8229090	315835	534	Vehicle	Bike	Indonesia	1014	4.9
7/22/2014	9126323	100051255	533	Vehicle	Car	Indonesia	1013	162.2
12/7/2014	20007	103745646	533	Electronics	Desktop	India	78671	19507.8
9/9/2014	20008	103732440	533	Electronics	Mobile	Indonesia	5053	1036.0
1/13/2014	20006	315834	531	Electronics	Mobile	Indonesia	1506	1.6
5/26/2014	20004	103732440	528	Electronics	Laptop	Singapore	5005	1001.5
12/12/2014	20005	100051255	521	Clothing	Baby	Singapore	990	229.2
4/6/2014	20006	100026761	518	Clothing	Men	China	5956	66.1
1/22/2014	20009	315835	516	Clothing	baby	Singapore	980	5.0
12/23/2014	20011	103732440	514	Clothing	Baby	Singapore	4873	976.4
1/20/2014	20013	315835	514	Clothing	Men	Japan	977	5.1
5/8/2014	20007	100051257	508	Clothing	Women	Japan	1443	364.5
11/14/2014	20008	100051257	508	Clothing	Women	India	1443	454.4
12/20/2014	20006	100051259	504	Clothing	Men	India	2389	788.8
7/21/2014	20004	103732440	503	Clothing	Men	Indonesia	4768	902.1
11/13/2014	20005	100032239	502	Electronics	Laptop	India	6022	177.1
7/15/2014	20006	103732440	501	Electronics	Desktop	Singapore	4749	898.5
10/12/2014	20009	100037029	499	Vehicle	Bike	Singapore	16003	1216.1
9/29/2014	20011	100051257	493	Vehicle	Truck	India	1401	438.5
7/10/2014	20013	103732440	490	Vehicle	Bike	Singapore	4645	878.8
5/15/2014	200013	103732440	490	Vehicle	Car	India	4645	929.4
10/10/2014	200014	103732440	490	Electronics	Desktop	India	4645	1030.7
5/16/2014	200015	100051259	490	Electronics	Mobile	India	2323	606.3
8/16/2014	200016	100051259	488	Electronics	Mobile	India	2313	784.7
12/4/2014	200017	100051257	486	Electronics	Laptop	India	1381	435.4
